name,primary_amide_sum,secondary_amide_sum,tertiary_amide_sum,ester_sum,carbonyl_sum,logP_sum,MR_sum,dbratio_sum,aromatic_rings_sum,dbonds_sum,abonds_sum,primary_amide_mean,secondary_amide_mean,tertiary_amide_mean,ester_mean,carbonyl_mean,logP_mean,MR_mean,dbratio_mean,aromatic_rings_mean,dbonds_mean,abonds_mean
TAPXIT01_clean,0.0,0.0,0.0,2.0,2.0,0.20589999999999975,62.99200000000002,-0.9333333333333333,2.0,2.0,12.0,0.0,0.0,0.0,2.0,2.0,0.20589999999999975,62.99200000000002,-0.9333333333333333,2.0,2.0,12.0
HORCUN_clean,0.0,0.0,0.0,3.0,3.0,-4.4329,37.083,-0.8333333333333334,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,-4.4329,37.083,-0.8333333333333334,1.0,3.0,6.0
BOJCIN_clean,0.0,0.0,0.0,1.0,1.0,-0.5549,29.253999999999998,-0.8333333333333334,1.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,-0.5549,29.253999999999998,-0.8333333333333334,1.0,1.0,6.0
OWAVOY_clean,0.0,0.0,0.0,1.0,1.0,-1.229466666666667,35.282999999999994,-0.7444444444444445,0.6666666666666666,2.0,3.6666666666666665,0.0,0.0,0.0,1.0,1.0,-1.229466666666667,35.282999999999994,-0.7444444444444445,0.6666666666666666,2.0,3.6666666666666665
UMODEH01_clean,0.0,0.0,0.0,4.0,4.0,4.273000000000005,196.2879999999998,-0.9791666666666666,6.0,4.0,36.0,0.0,0.0,0.0,4.0,4.0,4.273000000000005,196.2879999999998,-0.9791666666666666,6.0,4.0,36.0
QONKUB_clean,0.0,0.0,0.0,0.0,0.0,-0.6971500000000002,21.423999999999996,-0.4166666666666667,1.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,-0.6971500000000002,21.423999999999996,-0.4166666666666667,1.0,0.0,5.5
WOBHOL_clean,0.0,0.0,0.0,2.0,2.0,-1.2988000000000002,36.741,-0.8888888888888888,1.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,-1.2988000000000002,36.741,-0.8888888888888888,1.0,2.0,6.0
TEBWII_clean,0.0,0.0,0.0,0.0,0.0,-0.5531000000000003,77.16599999999998,-0.8333333333333334,0.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,-0.5531000000000003,77.16599999999998,-0.8333333333333334,0.5,1.5,2.5
AJIGIL_clean,7.0,0.0,0.0,0.0,7.0,7.027000000000004,357.73369999999977,-0.9333333333333333,1.0,11.0,6.0,7.0,0.0,0.0,0.0,7.0,7.027000000000004,357.73369999999977,-0.9333333333333333,1.0,11.0,6.0
YOCLIN_clean,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0
LELMIA_clean,0.0,0.0,0.0,2.0,2.0,-1.5249000000000001,34.353,-0.8333333333333334,1.0,2.0,5.0,0.0,0.0,0.0,2.0,2.0,-1.5249000000000001,34.353,-0.8333333333333334,1.0,2.0,5.0
XAKZOZ_clean,1.0,0.0,0.0,0.0,1.0,1.4513500000000001,51.16800000000001,-0.9027777777777777,1.5,1.0,9.0,1.0,0.0,0.0,0.0,1.0,1.4513500000000001,51.16800000000001,-0.9027777777777777,1.5,1.0,9.0
INAMUG_clean,0.0,0.0,0.0,2.0,2.0,-1.1037500000000002,53.804500000000004,-0.916083916083916,1.5,2.0,9.0,0.0,0.0,0.0,2.0,2.0,-1.1037500000000002,53.804500000000004,-0.916083916083916,1.5,2.0,9.0
IPOWOA_clean,0.0,0.0,0.0,6.0,6.0,-8.468699999999997,58.6033,-0.9230769230769231,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,-8.468699999999997,58.6033,-0.9230769230769231,0.0,6.0,0.0
LECFUW_charged,0.0,0.0,0.0,2.0,2.0,-1.6973000000000003,56.358999999999995,-0.9,2.0,2.0,11.0,0.0,0.0,0.0,2.0,2.0,-1.6973000000000003,56.358999999999995,-0.9,2.0,2.0,11.0
VUQKUO_clean,0.0,0.0,0.0,0.0,0.0,1.0362,111.05999999999996,-0.8888888888888888,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0362,111.05999999999996,-0.8888888888888888,2.0,2.0,12.0
