color_string,hex,starttime,time_stamp,delta_t,delta_t_seconds,r,g,b,clean_name
black green,#293421,2020-02-11 09:25:25.000000,2020-02-11 09:25:46.153669,0 days 00:00:21.153669000,21.153669,41,52,33,black green
yellowish white,#d9ea09,2020-02-11 09:25:46.000000,2020-02-11 09:26:03.512169,0 days 00:00:17.512169000,17.512169,217,234,9,yellowish white
violet-red,#b34978,2020-02-11 09:26:03.000000,2020-02-11 09:26:22.169945,0 days 00:00:19.169945000,19.169945,179,73,120,violet red
pale pink,#ffb8e5,2020-02-11 12:19:28.000000,2020-02-11 12:19:42.870815,0 days 00:00:14.870815000,14.870815,255,184,229,pale pink
bright yellow,#ffb600,2020-02-11 12:19:42.000000,2020-02-11 12:20:29.449676,0 days 00:00:47.449676000,47.449676,255,182,0,bright yellow
magenta,#eb1aca,2020-02-11 12:20:29.000000,2020-02-11 12:20:42.196944,0 days 00:00:13.196944000,13.196944,235,26,202,magenta
deep brown,#5d4439,2020-02-11 12:20:42.000000,2020-02-11 12:20:57.671285,0 days 00:00:15.671285000,15.671285,93,68,57,deep brown
pale-yellow,#feffa0,2020-02-11 12:20:57.000000,2020-02-11 12:21:28.761542,0 days 00:00:31.761542000,31.761542,254,255,160,pale yellow
reddish brown,#773f33,2020-02-11 13:09:09.000000,2020-02-11 13:25:03.856720,0 days 00:15:54.856720000,954.85672,119,63,51,reddish brown
colorless,#ffffff,2020-02-11 13:25:03.000000,2020-02-11 13:26:21.307812,0 days 00:01:18.307812000,78.307812,255,255,255,colorless
brown,#4c3627,2020-02-11 13:26:21.000000,2020-02-11 13:26:31.598644,0 days 00:00:10.598644000,10.598644,76,54,39,brown
deep blue,#1304f8,2020-02-11 13:26:31.000000,2020-02-11 13:26:38.879045,0 days 00:00:07.879045000,7.879045,19,4,248,deep blue
pink-purple,#b656bd,2020-02-11 13:26:38.000000,2020-02-11 13:27:07.387319,0 days 00:00:29.387319000,29.387319,182,86,189,pink purple
light orange,#f1cd4f,2020-02-11 19:58:06.000000,2020-02-11 19:59:11.708090,0 days 00:01:05.708090000,65.70809,241,205,79,light orange
dark-blue,#020851,2020-02-11 19:59:11.000000,2020-02-11 19:59:27.197804,0 days 00:00:16.197804000,16.197804,2,8,81,dark blue
deep brown,#523900,2020-02-11 19:59:27.000000,2020-02-11 20:00:57.645796,0 days 00:01:30.645796000,90.645796,82,57,0,deep brown
